Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена
I Follow You,"From the number one bestselling author, Peter James, comes I Follow You, a nerve-shredding standalone thriller. To the outside world, suave, charming and confident doctor Marcus Valentine has it all. A loving wife, three kids, a great job. But there's something missing, there always has been. . . . or rather, someone . . . Driving to work one morning, his mind elsewhere and not on the road, he almost mows down a female jogger on a crossing. As she runs on, Marcus is transfixed. Infatuated. She is the spitting image of a girl he was crazy about in his teens. A girl he has never been able to get out of his mind. Lynette had dumped him harshly. For years he has fantasized about seeing her again and rekindling their flame. Might that jogger possibly be her all these years later? Could this be the most incredible coincidence? Despite all his attempts to resist, he is consumed by cravings for this woman. And when events take a tragically unexpected turn, his obsession threatens to destroy both their worlds. But still he won't stop. Can't stop.","Crime & Thriller , Thriller","James, Peter",Pan Macmillan,2020,448,699 Денари
The Flight Attendant,"Now a limited series on HBO Max! A powerful story about the ways an entire life can change in one night: A flight attendant wakes up in the wrong hotel, in the wrong bed, with a dead man--and no idea what happened. Cassandra Bowden is no stranger to hungover mornings. She's a binge drinker, her job with the airline making it easy to find adventure, and the occasional blackouts seem to be inevitable. She lives with them, and the accompanying self-loathing. When she awakes in a Dubai hotel room, she tries to piece the previous night back together, counting the minutes until she has to catch her crew shuttle to the airport. She quietly slides out of bed, careful not to aggravate her already pounding head, and looks at the man she spent the night with. She sees his dark hair. His utter stillness. And blood, a slick, still wet pool on the crisp white sheets. Afraid to call the police--she's a single woman alone in a hotel room far from home--Cassie begins to lie. She lies as she joins the other flight attendants and pilots in the van. She lies on the way to Paris as she works the first class cabin. She lies to the FBI agents in New York who meet her at the gate. Soon it's too late to come clean-or face the truth about what really happened back in Dubai. Could she have killed him? If not, who did? Set amid the captivating world of those whose lives unfold at forty thousand feet, The Flight Attendant unveils a spellbinding story of memory, of the giddy pleasures of alcohol and the devastating consequences of addiction, and of murder far from home. A NEW YORK TIMES BESTSELLER A WALL STREET JOURNAL BESTSELLER A USA TODAY BESTSELLER A NATIONAL INDIEBOUND BESTSELLER","Crime & Thriller , Thriller","Bohjalian, Chris",Vintage,2020,480,599 Денари
Disappearing Earth,"ONE OF THE NEW YORK TIMES 10 BEST BOOKS OF THE YEAR NATIONAL BOOK AWARD FINALIST Finalist for The New York Public Library Young Lions Fiction Award One August afternoon, two sisters--Sophia, eight, and Alyona, eleven--go missing from a beach on the far-flung Kamchatka Peninsula in northeastern Russia. Taking us through the year that follows, Disappearing Earth enters the lives of women and girls in this tightly knit community who are connected by the crime: a witness, a neighbor, a detective, a mother. We are transported to vistas of rugged beauty--open expanses of tundra, soaring volcanoes, dense forests, the glassy seas that border Japan and Alaska--and into a region as complex as it is alluring, where social and ethnic tensions have long simmered, and where outsiders are often the first to be accused. In a story as propulsive as it is emotionally engaging, Julia Phillips's powerful novel brings us to a new understanding of the intricate bonds of family and community, in a Russia unlike any we have seen before.","Crime & Thriller , Thriller","Phillips, Julia",Random House USA Inc,2020,272,1.199 Денари
The Flight Attendant (Television Tie-In Edition) : A Novel,"Now a limited series on HBO Max starring Kaley Cuoco and Rosie Perez, a powerful story about the ways an entire life can change in one night: a flight attendant wakes up in the wrong hotel, in the wrong bed, with a dead man--and no idea what happened. Cassandra Bowden is no stranger to hungover mornings. She's a binge drinker, her job with the airline making it easy to find adventure, and the occasional blackouts seem to be inevitable. She lives with them--and the accompanying self-loathing. When she awakes in a Dubai hotel room, she tries to piece the previous night back together, counting the minutes until she has to catch her crew shuttle to the airport. She quietly slides out of bed, careful not to aggravate her already pounding head, and looks at the man she spent the night with. She sees his dark hair. His utter stillness. And blood, a slick, still wet pool on the crisp white sheets. Afraid to call the police--she's a single woman alone in a hotel room far from home--Cassie begins to lie. She lies as she joins the other flight attendants and pilots in the van. She lies on the way to Paris as she works the first class cabin. She lies to the FBI agents in New York who meet her at the gate. Soon it's too late to come clean-or face the truth about what really happened back in Dubai. Could she have killed him? If not, who did? Set amid the captivating world of those whose lives unfold at forty thousand feet, The Flight Attendant unveils a spellbinding story of memory, of the giddy pleasures of alcohol and the devastating consequences of addiction, and of murder far from home.","Crime & Thriller , Thriller","Bohjalian, Chris",Random House USA Inc,2020,368,899 Денари
Fright Night,"Full of menace and suspense, this unputdownable original paperback thriller is perfect for fans of Natasha Preston and anyone looking for a spine-chilling Halloween read! Sofia isn't so sure about Fright Night. When she suggested it to her friends, she was only thinking of it as an excuse to get closer to Dylan. Now that it's happening, she's worried that spending the night in a deserted forest is a bad idea. But it's totally safe--there's even a safe word if things get too intense. And they do. Sofia and her friends are forced to face their greatest fears, and suddenly? It's too late to turn back. Underlined is a line of totally addictive romance, thriller, and horror paperback original titles coming to you fast and furious each month. Enjoy everything you want to read the way you want to read it.","Crime & Thriller , Thriller","Stoffels, Maren",Random House USA Inc,2020,240,599 Денари
Pretty Things,"NEW YORK TIMES BESTSELLER - Two wildly different women--one a grifter, the other an heiress--are brought together by the scam of a lifetime in a page-turner from the New York Times bestselling author of Watch Me Disappear. An ID Book Club Selection - ""It's Dynasty meets Patricia Highsmith.""--The Washington Post Nina once bought into the idea that her fancy liberal arts degree would lead to a fulfilling career. When that dream crashed, she turned to stealing from rich kids in L.A. alongside her wily Irish boyfriend, Lachlan. Nina learned from the best: Her mother was the original con artist, hustling to give her daughter a decent childhood despite their wayward life. But when her mom gets sick, Nina puts everything on the line to help her, even if it means running her most audacious, dangerous scam yet. Vanessa is a privileged young heiress who wanted to make her mark in the world. Instead she becomes an Instagram influencer--traveling the globe, receiving free clothes and products, and posing for pictures in exotic locales. But behind the covetable facade is a life marked by tragedy. After a broken engagement, Vanessa retreats to her family's sprawling mountain estate, Stonehaven: a mansion of dark secrets not just from Vanessa's past, but from that of a lost and troubled girl named Nina. Nina's, Vanessa's, and Lachlan's paths collide here, on the cold shores of Lake Tahoe, where their intertwined lives give way to a winter of aspiration and desire, duplicity and revenge. This dazzling, twisty, mesmerizing novel showcases acclaimed author Janelle Brown at her best, as two brilliant, damaged women try to survive the greatest game of deceit and destruction they will ever play.","Crime & Thriller , Thriller","Brown, Janelle",Random House USA Inc,2020,496,1.599 Денари
This Is My America,"Incredible and searing. --Nic Stone, #1 New York Times bestselling author of Dear Martin The Hate U Give meets Just Mercy in this unflinching yet uplifting first novel that explores the racist injustices in the American justice system. Every week, seventeen-year-old Tracy Beaumont writes letters to Innocence X, asking the organization to help her father, an innocent Black man on death row. After seven years, Tracy is running out of time--her dad has only 267 days left. Then the unthinkable happens. The police arrive in the night, and Tracy's older brother, Jamal, goes from being a bright, promising track star to a thug on the run, accused of killing a white girl. Determined to save her brother, Tracy investigates what really happened between Jamal and Angela down at the Pike. But will Tracy and her family survive the uncovering of the skeletons of their Texas town's racist history that still haunt the present? Fans of Nic Stone, Tiffany D. Jackson, and Jason Reynolds won't want to miss this provocative and gripping debut.","Crime & Thriller , Thriller","Johnson, Kim",Random House USA Inc,2020,416,1.099 Денари
Tell Me Everything,"A compulsive page-turner with shades of Donna Tartt's The Secret History peopled by a new generation.--Catherine Steadman, New York Times bestselling author of Something in the Water NAMED ONE OF THE BEST BOOKS OF THE YEAR BY GOOD HOUSEKEEPING In her first weeks at Hawthorne College, Malin is swept up into a tight-knit circle that will stick together through all four years. There's Gemma, an insecure theater major from London; John, a tall, handsome, wealthy New Englander; Max, John's cousin, a shy pre-med major; Khaled, a wisecracking prince from Abu Dhabi; and Ruby, a beautiful art history major. But Malin isn't like the rest of her friends. She's an expert at hiding her troubled past. She acts as if she shares the preoccupations of those around her--dating, partying--all while using her extraordinary insight to detect their deepest vulnerabilities and weaknesses. By Senior Day, on the cusp of graduation, Malin's secrets--and those of her friends--are revealed. While she scrambles to maintain her artfully curated image, her missteps set in motion a devastating chain of events that ends in a murder. And as fragile relationships hang in the balance and close alliances shift, Malin must test the limits of what she's capable of to stop the truth from coming out. In a mesmerizing novel that peels back the innumerable layers of a seductive protagonist, debut author Cambria Brockman brings to life an entrancing story of friendship, heartbreak, and betrayal. Praise for Tell Me Everything ""Gripping . . . Brockman paints an unnerving portrait of the power people hold over one another--especially as they blur the line between protective and obsessive.""--Time ""At once a complex thriller and antihero origin story, Cambria Brockman's riveting debut is a true page-turner.""--Lisa Lutz, New York Times bestselling author of the Spellman series and The Passenger ""Cambria Brockman's dark and twisty Tell Me Everything is an impressive debut, a complicated and compelling novel of psychological suspense that deftly explores the questions of how well we know our friends and of whom we can trust.""--Karen Dionne, author of the international bestseller The Marsh King's Daughter","Crime & Thriller , Thriller","Brockman, Cambria",Ballantine Books,2020,368,999 Денари
Too Close to Home,"His cover: courthouse janitor. His cause: justice. But when Paul McGrath uncovers a shocking connection to a file of missing evidence, he finds the truth sometimes hits a little too close to home. An intelligence agent-turned-courthouse janitor, Paul McGrath notices everything and everyone--but no one notices him. It's the perfect cover for the justice he seeks for both his father and the people who've been wronged by a corrupt system. Now he's discovered a missing file on Alex Pardew--the man who defrauded and likely murdered McGrath's father but avoided conviction, thanks in large part to the loss of this very file. And what lies behind its disappearance is even worse than McGrath had feared. Meanwhile, at the courthouse, he stumbles on the case of Len Hendrie, a small businessman who's been accused of torching a venture capitalist's mansion. Though Hendrie admits starting the fire, McGrath learns how the VC has preyed on average Joes to benefit himself--and his extensive wine collection. McGrath can't resist looking deeper into this financial predator and soon finds himself in a gray area between his avenging moral compass and the limits of the law. Then, just as the Hendrie case is heating up, McGrath receives word of the death of his father's former housekeeper, sending him back to his family home to confront unfinished business from his past. And he's about to find some unwelcome truths about the mother he lost as a child--and the father who hid even more secrets than he realized.","Crime & Thriller , Thriller","Grant, Andrew",Ballantine Books,2020,384,599 Денари
Playing Nice,"What if you found out that your family isn't yours at all? How far would you go to protect them? A gripping new psychological thriller from the bestselling author of The Girl Before. . . . ""[JP] Delaney takes domestic suspense beyond its comfort zone.""--Marilyn Stasio, The New York Times Book Review Pete Riley answers the door one morning and lets in a parent's worst nightmare. On his doorstep is Miles Lambert, a stranger who breaks the devastating news that Pete's son, Theo, isn't actually his son--he is the Lamberts', switched at birth by an understaffed hospital while their real son was sent home with Miles and his wife, Lucy. For Pete, his partner Maddie, and the little boy they've been raising for the past two years, life will never be the same again. The two families, reeling from the shock, take comfort in shared good intentions, eagerly entwining their very different lives in the hope of becoming one unconventional modern family. But a plan to sue the hospital triggers an official investigation that unearths some disturbing questions about the night their children were switched. How much can they trust the other parents--or even each other? What secrets are hidden behind the Lamberts' glossy front door? Stretched to the breaking point, Pete and Maddie discover they will each stop at nothing to keep their family safe. They are done playing nice.","Crime & Thriller , Thriller","Delaney, Jp",Ballantine Books,2020,416,1.599 Денари
The Better Liar,"Smart, sinister, and utterly engrossing--this debut delivers.--Joshilyn Jackson, New York Times bestselling author of Never Have I Ever When a woman conceals her sister's death to claim their joint inheritance, her deception exposes a web of dangerous secrets in this addictive new thriller for fans of Megan Abbott, Gillian Flynn, and Paula Hawkins. NAMED ONE OF THE MOST ANTICIPATED BOOKS OF 2020 BY Entertainment Weekly - New York Post - Lit Hub - Crime Reads - E! News - BookRiot - PopSugar - Hello GIggles ""Like most of the dead, I want to be remembered."" Robin Voigt is dead. If Leslie had arrived at her sister's cramped Las Vegas apartment just hours earlier, this would have been their first reunion in a decade. In the years since Robin ran away from home as a teenager, Leslie has stayed in New Mexico, taking care of their dying father even as she began building a family of her own. But when their father passed away, Leslie received a rude awakening: She and Robin would receive the inheritance he left them together--or not at all. Now her half of the money may be beyond her grasp. And unbeknownst to anyone, even her husband, Leslie needs it desperately. When she meets a charismatic young woman who bears an uncanny resemblance to Robin--and has every reason to leave her past behind--the two make a reckless bargain: Mary will impersonate Robin for a week in exchange for Robin's half of the cash. But neither realizes how high the stakes will become when Mary takes a dead woman's name. Even as Mary begins to suspect Leslie is hiding something, and Leslie realizes the stranger living in her house, babysitting her newborn son, and charming her husband has secrets of her own, Robin's wild, troubled legacy threatens to eclipse them both. An electric, twisted portrait of sisterhood and the ties that bind, The Better Liar is a stunning debut with a heart-stopping, twist-after-twist finale that will beg the question: How far would you go to get what's yours? Praise for The Better Liar ""Jones' sensational debut has the bones of a thriller but reads like literary fiction: lean, shrewd, and gratifyingly real.""--Entertainment Weekly ""Jones's debut novel is clever, absorbing, and full of red herrings. . . . A stunning twist ending will leave readers waiting to see what Jones will give them next.""--Booklist (starred review)","Crime & Thriller , Thriller","Jones, Tanen",Ballantine Books,2020,320,1.499 Денари
A Madness of Sunshine,"New York Times bestselling author Nalini Singh welcomes you to a remote town on the edge of the world where even the blinding brightness of the sun can't mask the darkness that lies deep within a killer.... On the rugged West Coast of New Zealand, Golden Cove is more than just a town where people live. The adults are more than neighbors; the children, more than schoolmates. That is until one fateful summer--and several vanished bodies--shatters the trust holding Golden Cove together. All that's left are whispers behind closed doors, broken friendships, and a silent agreement to not look back. But they can't run from the past forever. Eight years later, a beautiful young woman disappears without a trace, and the residents of Golden Cove wonder if their home shelters something far more dangerous than an unforgiving landscape. It's not long before the dark past collides with the haunting present and deadly secrets come to light.","Crime & Thriller , Thriller","Singh, Nalini",Berkley Books,2020,480,599 Денари
Close Up,"Welcome to Burning Cove, California where 1930s Hollywood glamour conceals a ruthless killer... Vivian Brazier never thought life as an art photographer would include nightly wake-up calls to snap photos of grisly crime scenes or headshots for aspiring male actors. Although she is set on a career of transforming photography into a new art form, she knows her current work is what's paying the bills. After shooting crime scene photos of a famous actress, the latest victim of the murderer the press has dubbed the ""Dagger Killer,"" Vivian notices eerie similarities to the crime scenes of previous victims--details that only another photographer would have noticed--details that put Vivian at the top of the killer's target list. Nick Sundridge has always been able to ""see"" things that others don't, coping with disturbing dreams and visions. His talent, or as he puts it--his curse--along with his dark past makes him a recluse, but a brilliant investigator. As the only one with the ability to help, Nick is sent to protect Vivian. Together, they discover the Dagger Killer has ties to the glitz and glamour of Hollywood royalty and high society. It is a cutthroat world of allure and deception that Vivian and Nick must traverse--all in order to uncover the killer who will stop at nothing to add them to their gallery of murders.","Crime & Thriller , Thriller","Quick, Amanda",Berkley Books,2020,304,999 Денари
One Minute Out,"A #1 NEW YORK TIMES BESTSELLER! From Mark Greaney, the New York Times bestselling author of Mission Critical and a coauthor of Tom Clancy's Jack Ryan novels, comes another high-stakes thriller featuring the world's most dangerous assassin: the Gray Man. While on a mission to Croatia, Court Gentry uncovers a human trafficking operation. The trail leads from the Balkans all the way back to Hollywood. Court is determined to shut it down, but his CIA handlers have other plans. The criminal ringleader has actionable intelligence about a potentially devastating terrorist attack on the US. The CIA won't move until they have that intel. It's a moral balancing act with Court at the pivot point.","Crime & Thriller , Thriller","Greaney, Mark",Berkley Books,2020,672,599 Денари
A Time for Mercy,"Jake Brigance is back! The hero of A Time to Kill, one of the most popular novels of our time, returns in a courtroom drama that The New York Times says is riveting and suspenseful. Clanton, Mississippi. 1990. Jake Brigance finds himself embroiled in a deeply divisive trial when the court appoints him attorney for Drew Gamble, a timid sixteen-year-old boy accused of murdering a local deputy. Many in Clanton want a swift trial and the death penalty, but Brigance digs in and discovers that there is more to the story than meets the eye. Jake's fierce commitment to saving Drew from the gas chamber puts his career, his financial security, and the safety of his family on the line. In what may be the most personal and accomplished legal thriller of John Grisham's storied career, we deepen our acquaintance with the iconic Southern town of Clanton and the vivid cast of characters that so many readers know and cherish. The result is a richly rewarding novel that is both timely and timeless, full of wit, drama, and--most of all--heart. Bursting with all the courthouse scheming, small-town intrigue, and stunning plot twists that have become the hallmarks of the master of the legal thriller, A Time for Mercy is John Grisham's most powerful courtroom drama yet. There is a time to kill and a time for justice. Now comes A Time for Mercy.","Crime & Thriller , Thriller","Grisham, John",Doubleday Books,2020,480,1.699 Денари
Camino Winds,"In American icon John Grisham's new novel, Camino Winds, an odd assortment of mystery and crime authors, some of them felons themselves, discover one of their colleagues has been murdered during the fury of a massive hurricane--the perfect crime scene. Since officials are preoccupied with the aftermath of the storm, the authors set out to solve the mystery themselves, in the type of wild but smart caper that Grisham's readers love. --Delia Owens, author of Where the Crawdads Sing John Grisham, #1 bestselling author and master of the legal thriller, sweeps you away to paradise for a little sun, sand, mystery, and mayhem. With Camino Winds, America's favorite storyteller offers the perfect escape. Welcome back to Camino Island, where anything can happen--even a murder in the midst of a hurricane, which might prove to be the perfect crime . . . Just as Bruce Cable's Bay Books is preparing for the return of bestselling author Mercer Mann, Hurricane Leo veers from its predicted course and heads straight for the island. Florida's governor orders a mandatory evacuation, and most residents board up their houses and flee to the mainland, but Bruce decides to stay and ride out the storm. The hurricane is devastating: homes and condos are leveled, hotels and storefronts ruined, streets flooded, and a dozen people lose their lives. One of the apparent victims is Nelson Kerr, a friend of Bruce's and an author of thrillers. But the nature of Nelson's injuries suggests that the storm wasn't the cause of his death: He has suffered several suspicious blows to the head. Who would want Nelson dead? The local police are overwhelmed in the aftermath of the storm and ill equipped to handle the case. Bruce begins to wonder if the shady characters in Nelson's novels might be more real than fictional. And somewhere on Nelson's computer is the manuscript of his new novel. Could the key to the case be right there--in black and white? As Bruce starts to investigate, what he discovers between the lines is more shocking than any of Nelson's plot twists--and far more dangerous. Camino Winds is an irresistible romp and a perfectly thrilling beach read--# 1 bestselling author John Grisham at his beguiling best.","Crime & Thriller , Thriller","Grisham, John",Doubleday Books,2020,304,1.699 Денари
Watching You Without Me,"LONGLISTED FOR THE SCOTIABANK GILLER PRIZE! From the author of the Scotiabank Giller Prize-winning story collection Hellgoing--an electrifying, brooding novel about the lengths we go to care for family, and what happens when a stranger places himself at the center of one household. Watching You Without Me is like a Lorrie Moore book suffering a Patricia Highsmith fever dream. You slide right along on Coady's witty and endearing style, and meanwhile the trap has closed over you without your ever standing a chance. --Jonathan Lethem After her mother's sudden death, Karen finds herself back in her childhood home in Nova Scotia for the first time in a decade, acting as full-time caregiver to her older sister, Kelli. Overwhelmed and consumed by the isolation of her new role, Karen finds a shoulder to cry on in Trevor--one of Kelli's caregivers. Karen gratefully accepts his friendship and comes to trust him all the more when she discovers how close Trevor was to her mother, Irene. But all is not as it appears to be. What begins with friendly advice and someone to talk to soon takes a dark and mysterious turn. Who is this person Karen has let into her home and into her family's life? How well does she know the stranger she has entrusted with her sister's well-being? As Trevor slowly weaves himself into Karen and Kelli's lives, Karen starts to grasp the unsettling truth about him and his relationship with her mother--and to experience for herself the true and dangerous nature of Trevor's care.","Crime & Thriller , Thriller","Coady, Lynn",Knopf Publishing Group,2020,320,1.499 Денари
Lazarus,"One of the best thrillers of the year! Kepler treats us readers to a nonstop roller coaster of suspense, taking us deep into the hearts and minds of perfectly realized characters. And, oh, what a villain! Lazarus is the definition of a one-sitting read! --Jeffery Deaver, New York Times best-selling author of The Goodbye Man Sometimes the past won't stay buried. All across Europe, the most ruthless criminals are suffering gruesome deaths. At first, it seems coincidental that their underworld affiliations are finally catching up to them. But when two of the victims are found to have disturbing connections to Detective Joona Linna, it becomes clear that there's a single killer at work. Still, police are reluctant to launch an investigation. If a mysterious vigilante is making their jobs easier, why stand in his way? Joona, however, is convinced this is no would-be hero. These deaths serve a much darker purpose. Desperate for help, Joona turns to Saga Bauer. If his hunch is correct, she's one of the few people who stands a chance at bringing this criminal mastermind down. But Saga is fighting her own demons--and the killer knows just how to use them to his advantage. He continues to strike with impunity, and no one, it seems, is safe. When the killer begins targeting those closest to Saga and Joona, it appears more and more likely that Joona has been right all along, and that tracking down the person responsible will force him to confront a ghost from his past . . . the most terrifying villain he's ever had to face.","Crime & Thriller , Thriller","Kepler, lars",Knopf Publishing Group,2020,496,1.699 Денари
The Golden Cage,"A sexy, deliciously dark journey. -- Los Angeles Times A CrimeReads Most Anticipated Book of 2020 An exhilarating new novel from a global superstar--a sexy, over-the-top psychological thriller that tells the story of the scorned wife of a billionaire and her delicious plot to get her revenge and bring him to his knees. Faye has loved Jack since they were students at business school. Jack, the perpetual golden boy, grew up wealthy, unlike Faye, who has worked hard to bury a dark past. When Jack needs help launching a new company, Faye leaves school to support him, waitressing by day and working as his strategist by night. With the business soaring, Faye and Jack have a baby, and Faye finds herself at home, caring for their daughter, wealthier than she ever imagined, but more and more removed from the excitement of the business world. And none of the perks of wealth make up for the fact that Jack has begun to treat her coldly, undermining her intelligence and forgetting all she sacrificed for his success. When Faye discovers that he's having an affair, the polished facade of their life cracks wide open. Faye is alone, emotionally shattered, and financially devastated--but hell hath no fury like a woman with a violent past bent on vengeance. Jack is about to get exactly what he deserves--and so much more. In this splashy, electrifying story of sex, betrayal, and secrets, a woman's revenge is a brutal but beautiful thing.","Crime & Thriller , Thriller","Lackberg, Camilla",Knopf Publishing Group,2020,352,1.499 Денари
The Fifth Column,"The Fifth Column is a thrilling novel about the only man who can thwart a Nazi sympathizer uprising in New York during the Second World War, from bestselling author Andrew Gross. A Man in Trouble February 1939 and Europe is on the brink of war. Charles Mossman is in a bar in Hell's Kitchen, New York, reeling from the loss of his job and his failing marriage, whilst outside thousands of Nazi sympathizers are attending a hate-spewing rally. As he confronts one, Charles makes a horrendous mistake with deadly consequences. A City of Secrets Two years later, Charles is released from prison and tries to reunite with his family. The US has kept out of the war for now but the pressure in the city is rising as those sympathetic to the Nazi cause lay the foundations for what lies ahead. The Enemy Within As he tries to make amends with his wife and daughter, Charles starts to understand that surrounding them there are forces that will use any means necessary to bring about the downfall of his nation. And when his daughter is befriended by a seemingly amiable Swiss couple, it brings to the surface his fears of a 'Fifth Column' of embedded German spies in their new neighbourhood. All Charles wants is to redeem himself as a husband and father, but sometimes a man must do questionable things to stand up for his family and what he believes, even sacrificing his life to do so . . .","Crime & Thriller , Thriller","Gross, Andrew",Pan Macmillan,2020,336,699 Денари
Daylight,"Daylight is the gripping follow up to Long Road to Mercy and A Minute to Midnight featuring Special Agent Atlee Pine from one of the world's most favourite thriller writers, David Baldacci. The hunt Ever since Mercy was abducted aged six, Atlee has been relentless in her search for her. Finally, she gets her most promising breakthrough yet - the identity of her sister's kidnapper. The capture As Atlee and her assistant, Carol Blum, race to track down the suspect, they run into Pine's old friend and fellow agent, John Puller, who is investigating the suspect's family for another crime. The kill Working together, Pine and Puller must pull back the layers of deceit, lies and cover-ups that strike at the very heart of global democracy. And the truth about what happened to Mercy will finally be revealed. That truth will shock Atlee Pine to her very core.","Crime & Thriller , Thriller","Baldacci, David",Pan Macmillan,2020,576,499 Денари
Hidden in Plain Sight,"Newly promoted, Detective Sergeant William Warwick has been reassigned to the drugs squad. His first case: to investigate a notorious south London drug lord known as the Viper. But as William and his team close the net around a criminal network unlike any they have ever encountered, he is also faced with an old enemy, Miles Faulkner. It will take all of William's cunning to devise a means to bring both men to justice, a trap neither will expect, one that is hidden in plain sight . . . Filled with Jeffrey Archer's trademark twists and turns, Hidden in Plain Sight is the gripping next instalment in the life of William Warwick. It follows on from Nothing Ventured, but can be read as a standalone story.","Literature , Historical Fiction","Archer, Jeffrey",Pan Macmillan,2020,336,599 Денари
I Follow You,"From the number one bestselling author, Peter James, comes I Follow You, a nerve-shredding standalone thriller. To the outside world, suave, charming and confident doctor Marcus Valentine has it all. A loving wife, three kids, a great job. But there's something missing, there always has been. . . . or rather, someone . . . Driving to work one morning, his mind elsewhere and not on the road, he almost mows down a female jogger on a crossing. As she runs on, Marcus is transfixed. Infatuated. She is the spitting image of a girl he was crazy about in his teens. A girl he has never been able to get out of his mind. Lynette had dumped him harshly. For years he has fantasized about seeing her again and rekindling their flame. Might that jogger possibly be her all these years later? Could this be the most incredible coincidence? Despite all his attempts to resist, he is consumed by cravings for this woman. And when events take a tragically unexpected turn, his obsession threatens to destroy both their worlds. But still he won't stop. Can't stop.","Crime & Thriller , Thriller","James, Peter",Pan Macmillan,2020,448,699 Денари
The Cook of the Halcyon,"The Cook of the Halcyon is the penultimate novel in the Inspector Montalbano mystery series from the master of Sicilian crime, Andrea Camilleri. Moments later the all-white schooner, which looked like a hospital ship, began to pass ever so slowly before him, as if wanting to show itself off in all its beauty. The name on the prow said: Halcyon. Two deaths - the suicide of a recently fired worker and the murder of an unscrupulous businessman - lead Inspector Montalbano to the Halcyon, a mysterious ship that visits Vigata's port each day. With very few crewmen, no passengers, and a stern large enough to land a helicopter, it piques the Inspector's interest straight away. In the midst of this, a rare trip to Genoa to visit Livia ends with the Vigata police department in disarray, and Inspector Montalbano's position as the head of the commissariat in jeopardy. It will be up to Montalbano to fix the damage done.","Crime & Thriller , Thriller","Camilleri, Andrea",Pan Macmillan,2020,272,699 Денари
Daylight,"Daylight is the gripping follow up to Long Road to Mercy and A Minute to Midnight featuring Special Agent Atlee Pine, from one of the world's most favourite thriller writers, David Baldacci. The hunt Ever since Mercy was abducted aged six, Atlee has been relentless in her search for her. Finally, she gets her most promising breakthrough yet - the identity of her sister's kidnapper. The capture As Atlee and her assistant, Carol Blum, race to track down the suspect, they run into Pine's old friend and fellow agent, John Puller, who is investigating the suspect's family for another crime. The kill Working together, Pine and Puller must pull back the layers of deceit, lies and cover-ups that strike at the very heart of global democracy. And the truth about what happened to Mercy will finally be revealed. That truth will shock Atlee Pine to her very core. Continue the gripping series with Mercy.","Crime & Thriller , Thriller","Baldacci, David",Pan Macmillan,2020,576,699 Денари
The End of Her,"AN INSTANT NEW YORK TIMES BESTSELLER! ""The End of Her will keep you guessing right up to the end . . . once you pick it up, you will not want to put it down.""--USA Today The new domestic suspense novel from the New York Times bestselling author of The Couple Next Door and Someone We Know A long-ago accident--and a visitor from out of the blue. . . Stephanie and Patrick are adjusting to life with their colicky twin girls. The babies are a handful, but even as Stephanie struggles with the disorientation of sleep deprivation, there's one thing she's sure of: she has all she ever wanted. Then Erica, a woman from Patrick's past, appears and makes a disturbing accusation. Patrick had always said his first wife's death was an accident, but now Erica claims it was murder. Patrick insists he's innocent, that this is nothing but a blackmail attempt. Still, Erica knows things about Patrick--things that make Stephanie begin to question her husband. Stephanie isn't sure what, or who, to believe. As Stephanie's trust in Patrick begins to falter, Patrick stands to lose everything. Is Patrick telling the truth--is Erica the persuasive liar Patrick says she is? Or has Stephanie made a terrible mistake? How will it end?","Crime & Thriller , Thriller","Lapena, Shari",Pamela Dorman Books,2020,352,1.599 Денари
A Time for Mercy : John Grisham's Latest No. 1 Bestseller,"Jake Brigance, lawyer hero of A Time to Kill and Sycamore Row, is back, in his toughest case ever. 'A new Grisham legal thriller is always an event, but this one is exceptional as the author is returning to Jake Brigance, the hero of his very first book, A Time To Kill . . . There is a lot of Grisham in Brigance - they were both street lawyers on the side of the people, not big corporations. It gives the book an emotional core that burns with a white heat' - Daily Mail 'A master of plotting and pacing . . . suspenseful' - New York Times CAN A KILLER EVER BE ABOVE THE LAW? Deputy Stuart Kofer is a protected man. Though he's turned his drunken rages on his girlfriend, Josie, and her children many times before, the police code of silence has always shielded him. But one night he goes too far, leaving Josie for dead on the floor before passing out. Her son, sixteen-year-old Drew, knows he only has this one chance to save them. He picks up a gun and takes the law into his own hands. In Clanton, Mississippi, there is no one more hated than a cop killer - but a cop killer's defence lawyer comes close. Jake Brigance doesn't want this impossible case but he's the only one with enough experience to defend the boy. As the trial begins, it seems there is only one outcome: the gas chamber for Drew. But, as the town of Clanton discovers once again, when Jake Brigance takes on an impossible case, anything is possible ... Starring the same hero and setting that featured in John Grisham's multi-million-selling bestsellers A Time to Kill (adapted as a film starring Samuel L. Jackson and Matthew McConaughey) and Sycamore Row, A Time for Mercy is an unforgettable thriller you won't be able to put down. 'When Grisham gets in the courtroom he lets rip, drawing scenes so real they're not just alive, they're pulsating' Mirror 'A superb, instinctive storyteller' The Times 'Storytelling genius ... he is in a league of his own' Daily Record 350+ million copies, 45 languages, 9 blockbuster films: NO ONE WRITES DRAMA LIKE JOHN GRISHAM","Crime & Thriller , Thriller","Grisham, John",Hodder & Stoughton,2020,480,1.399 Денари
